"Municipio","Ano","Tipo Institucion","N_Aprobados","N_Reprobados","N_Desertores","N_Traslados","P_Aprobados","P_Reprobados","P_Desertores","P_Traslados"
"La Argentina",2012,"Oficial",,,,,92.6,7.4,4.3,
"La Plata",2012,"Oficial",,,,,97,3,3.4,
"Nátaga",2012,"Oficial",,,,,98.3,1.7,7,
"Neiva",2012,"Oficial",,,,,87.7,12.3,6.9,
"Oporapa",2012,"Oficial",,,,,97.6,2.4,3.1,
"Paicol",2012,"Oficial",,,,,87.8,12.2,2.2,
"Palermo",2012,"Oficial",,,,,91.5,8.5,1.4,
"Palestina",2012,"Oficial",,,,,100,0,3.6,
"Pital",2012,"Oficial",,,,,98,2,3.6,
"Pitalito",2012,"Oficial",,,,,89.7,10.3,5.6,
"Rivera",2012,"Oficial",,,,,95.8,4.2,2,
"Saladoblanco",2012,"Oficial",,,,,100,0,7.5,
"San Agustín",2012,"Oficial",,,,,98.8,1.2,0.6,
"Santa Maria",2012,"Oficial",,,,,92.8,7.2,7.1,
"Suaza",2012,"Oficial",,,,,98.2,1.8,3.5,
"Tarqui",2012,"Oficial",,,,,96.5,3.5,6.4,
"Tello",2012,"Oficial",,,,,96.3,3.7,5.3,
"Teruel",2012,"Oficial",,,,,89.9,10.1,6.6,
"Tesalia",2012,"Oficial",,,,,91.4,8.6,3.5,
"Timaná",2012,"Oficial",,,,,94.3,5.7,4.2,
"Villavieja",2012,"Oficial",,,,,96,4,3,
"Yaguará",2012,"Oficial",,,,,82.5,17.5,2,
"Acevedo",2011,"Oficial",,,,,98.2,1.8,1.8,
"Agrado",2011,"Oficial",,,,,99,1,2.6,
"Aipe",2011,"Oficial",,,,,92.8,7.2,8.9,
"Algeciras",2011,"Oficial",,,,,93.6,6.4,5.7,
"Altamira",2011,"Oficial",,,,,95,5,0.5,
"Baraya",2011,"Oficial",,,,,98,2,3.2,
"Campoalegre",2011,"Oficial",,,,,98.3,1.7,1.8,
"Colombia",2011,"Oficial",,,,,96,4,6.8,
"Elias",2011,"Oficial",,,,,100,0,6.4,
"Garzón",2011,"Oficial",,,,,97.2,2.8,4.9,
"Gigante",2011,"Oficial",,,,,98.1,1.9,2.7,
"Guadalupe",2011,"Oficial",,,,,96.5,3.5,1.5,
"Hobo",2011,"Oficial",,,,,90.6,9.4,6.5,
"Iquira",2011,"Oficial",,,,,94,6,6.5,
"Isnos",2011,"Oficial",,,,,99,1,8.9,
"La Argentina",2011,"Oficial",,,,,92.6,7.4,4.3,
"La Plata",2011,"Oficial",,,,,97,3,3.4,
"Nátaga",2011,"Oficial",,,,,98.3,1.7,7,
"Neiva",2011,"Oficial",,,,,87.7,12.3,6.9,
"Oporapa",2011,"Oficial",,,,,97.6,2.4,3.1,
"Paicol",2011,"Oficial",,,,,87.8,12.2,2.2,
"Palermo",2011,"Oficial",,,,,91.5,8.5,1.4,
"Palestina",2011,"Oficial",,,,,100,0,3.6,
"Pital",2011,"Oficial",,,,,98,2,3.6,
"Pitalito",2011,"Oficial",,,,,89.7,10.3,5.6,
"Rivera",2011,"Oficial",,,,,95.8,4.2,2,
"Saladoblanco",2011,"Oficial",,,,,100,0,7.5,
"San Agustín",2011,"Oficial",,,,,98.8,1.2,0.6,
"Santa Maria",2011,"Oficial",,,,,92.8,7.2,7.1,
"Suaza",2011,"Oficial",,,,,98.2,1.8,3.5,
"Tarqui",2011,"Oficial",,,,,96.5,3.5,6.4,
"Tello",2011,"Oficial",,,,,96.3,3.7,5.3,
"Teruel",2011,"Oficial",,,,,89.9,10.1,6.6,
"Tesalia",2011,"Oficial",,,,,91.4,8.6,3.5,
"Timaná",2011,"Oficial",,,,,94.3,5.7,4.2,
"Villavieja",2011,"Oficial",,,,,96,4,3,
"Yaguará",2011,"Oficial",,,,,82.5,17.5,2,
"Acevedo",2010,"Oficial",,,,,96.9,3.1,4.1,6.9
"Agrado",2010,"Oficial",,,,,89.2,10.8,6.9,9.6
"Aipe",2010,"Oficial",,,,,89.3,10.7,8.9,6.8
"Algeciras",2010,"Oficial",,,,,93.4,6.6,6.5,5.7
"Altamira",2010,"Oficial",,,,,83.1,16.9,0.3,8.9
"Baraya",2010,"Oficial",,,,,91.3,8.7,8.4,5.1
"Campoalegre",2010,"Oficial",,,,,89.5,10.5,7.5,5.9
"Colombia",2010,"Oficial",,,,,90.5,9.5,8.1,6
"Elias",2010,"Oficial",,,,,94.9,5.1,3.4,4.7
"Garzón",2010,"Oficial",,,,,90,10,7.8,8.3
"Gigante",2010,"Oficial",,,,,95.4,4.6,5.5,8.4
"Guadalupe",2010,"Oficial",,,,,94.8,5.2,5.7,8.4
"Hobo",2010,"Oficial",,,,,94,6,10.4,6
"Iquira",2010,"Oficial",,,,,87.6,12.4,11,5.8
"Isnos",2010,"Oficial",,,,,93.3,6.7,6.7,3.9
"La Argentina",2010,"Oficial",,,,,90.7,9.3,2.9,3.1
"La Plata",2010,"Oficial",,,,,94.4,5.6,6.7,3.7
"Nátaga",2010,"Oficial",,,,,92.8,7.2,5.3,5.7
"Neiva",2010,"Oficial",,,,,,,,
"Oporapa",2010,"Oficial",,,,,96.1,3.9,3.5,4.4
"Paicol",2010,"Oficial",,,,,88.5,11.5,5.6,9.8
"Palermo",2010,"Oficial",,,,,87.5,12.5,3.5,10.5
"Palestina",2010,"Oficial",,,,,99.7,0.3,4,6.5
"Pital",2010,"Oficial",,,,,90.2,9.8,4.2,6.6
"Pitalito",2010,"Oficial",,,,,94.68,5.32,6.28,5.5
"Rivera",2010,"Oficial",,,,,90.3,9.7,3.8,9.4
"Saladoblanco",2010,"Oficial",,,,,94.6,5.4,10.8,5.9
"San Agustín",2010,"Oficial",,,,,96.4,3.6,4.4,5.1
"Santa Maria",2010,"Oficial",,,,,93.5,6.5,5.3,7
"Suaza",2010,"Oficial",,,,,94,6,3.6,7.6
"Tarqui",2010,"Oficial",,,,,94,6,5.9,2.7
"Tello",2010,"Oficial",,,,,91.9,8.1,9.9,5.7
"Teruel",2010,"Oficial",,,,,90.1,9.9,9.7,6.1
"Tesalia",2010,"Oficial",,,,,91.4,8.6,4.6,8.6
"Timaná",2010,"Oficial",,,,,93.2,6.8,5.7,6.3
"Villavieja",2010,"Oficial",,,,,84.3,15.7,3.2,4.6
"Yaguará",2010,"Oficial",,,,,89.8,10.2,8,5.7
"Acevedo",2009,"Oficial",,,,,97.2,2.8,3.9,4.4
"Agrado",2009,"Oficial",,,,,95.5,4.5,6.8,6.8
"Aipe",2009,"Oficial",,,,,96.4,3.6,5.1,7.7
"Algeciras",2009,"Oficial",,,,,97.5,2.5,5.2,6.5
"Altamira",2009,"Oficial",,,,,95.6,4.4,2,12.9
"Baraya",2009,"Oficial",,,,,94.8,5.2,7.8,6.5
"Campoalegre",2009,"Oficial",,,,,95.9,4.1,5.9,7
"Colombia",2009,"Oficial",,,,,96.6,3.4,5.7,6.9
"Elias",2009,"Oficial",,,,,97,3,5.6,3.8
"Garzón",2009,"Oficial",,,,,96.4,3.6,6.6,8.3
"Gigante",2009,"Oficial",,,,,95,5,4.9,7.5
"Guadalupe",2009,"Oficial",,,,,97.4,2.6,3.9,6.3
"Hobo",2009,"Oficial",,,,,92.2,7.8,6.4,5.5
"Iquira",2009,"Oficial",,,,,95.8,4.2,6,9.8
"Isnos",2009,"Oficial",,,,,98.2,1.8,5.4,2.6
"La Argentina",2009,"Oficial",,,,,96.4,3.6,4.3,5.2
"La Plata",2009,"Oficial",,,,,97.1,2.9,4.8,4.3
"Nátaga",2009,"Oficial",,,,,97.5,2.5,6.1,4.5
"Neiva",2009,"Oficial",,,,,,,,
"Oporapa",2009,"Oficial",,,,,97.1,2.9,3.2,6.3
"Paicol",2009,"Oficial",,,,,89.9,10.1,4.8,9
"Palermo",2009,"Oficial",,,,,95,5,2.7,7.6
"Palestina",2009,"Oficial",,,,,99.5,0.5,5.4,6.1
"Pital",2009,"Oficial",,,,,98,2,4,10.1
"Pitalito",2009,"Oficial",,,,,94.7,5.3,6.3,5.5
"Rivera",2009,"Oficial",,,,,95.4,4.6,3,8.9
"Saladoblanco",2009,"Oficial",,,,,94.5,5.5,4.1,5.4
