"Ano","Municipio","Categoria","Numero"
2016,"La Argentina","Orientador",2
2016,"La Plata","Orientador",7
2016,"Nátaga","Orientador",1
2016,"Neiva","Orientador",37
2016,"Oporapa","Orientador",1
2016,"Paicol","Orientador",1
2016,"Palermo","Orientador",3
2016,"Palestina","Orientador",1
2016,"Pital","Orientador",1
2016,"Pitalito","Orientador",14
2016,"Rivera","Orientador",2
2016,"Saladoblanco","Orientador",2
2016,"San Agustín","Orientador",2
2016,"Santa Maria","Orientador",1
2016,"Suaza","Orientador",1
2016,"Tarqui","Orientador",2
2016,"Tello","Orientador",2
2016,"Teruel","Orientador",1
2016,"Tesalia","Orientador",1
2016,"Timaná","Orientador",1
2016,"Villavieja","Orientador",
2016,"Yaguará","Orientador",1
2016,"Acevedo","Docente aula",303
2016,"Agrado","Docente aula",96
2016,"Aipe","Docente aula",150
2016,"Algeciras","Docente aula",208
2016,"Altamira","Docente aula",35
2016,"Baraya","Docente aula",76
2016,"Campoalegre","Docente aula",241
2016,"Colombia","Docente aula",90
2016,"Elias","Docente aula",38
2016,"Garzón","Docente aula",571
2016,"Gigante","Docente aula",282
2016,"Guadalupe","Docente aula",167
2016,"Hobo","Docente aula",57
2016,"Iquira","Docente aula",113
2016,"Isnos","Docente aula",218
2016,"La Argentina","Docente aula",137
2016,"La Plata","Docente aula",574
2016,"Nátaga","Docente aula",69
2016,"Neiva","Docente aula",2104
2016,"Oporapa","Docente aula",110
2016,"Paicol","Docente aula",59
2016,"Palermo","Docente aula",226
2016,"Palestina","Docente aula",112
2016,"Pital","Docente aula",130
2016,"Pitalito","Docente aula",1049
2016,"Rivera","Docente aula",183
2016,"Saladoblanco","Docente aula",120
2016,"San Agustín","Docente aula",282
2016,"Santa Maria","Docente aula",105
2016,"Suaza","Docente aula",189
2016,"Tarqui","Docente aula",176
2016,"Tello","Docente aula",125
2016,"Teruel","Docente aula",72
2016,"Tesalia","Docente aula",96
2016,"Timaná","Docente aula",181
2016,"Villavieja","Docente aula",65
2016,"Yaguará","Docente aula",56
2016,"Acevedo","Docente apoyo",
2016,"Agrado","Docente apoyo",
2016,"Aipe","Docente apoyo",
2016,"Algeciras","Docente apoyo",
2016,"Altamira","Docente apoyo",
2016,"Baraya","Docente apoyo",
2016,"Campoalegre","Docente apoyo",
2016,"Colombia","Docente apoyo",
2016,"Elias","Docente apoyo",
2016,"Garzón","Docente apoyo",1
2016,"Gigante","Docente apoyo",
2016,"Guadalupe","Docente apoyo",
2016,"Hobo","Docente apoyo",1
2016,"Iquira","Docente apoyo",
2016,"Isnos","Docente apoyo",
2016,"La Argentina","Docente apoyo",
2016,"La Plata","Docente apoyo",3
2016,"Nátaga","Docente apoyo",
2016,"Neiva","Docente apoyo",17
2016,"Oporapa","Docente apoyo",
2016,"Paicol","Docente apoyo",
2016,"Palermo","Docente apoyo",1
2016,"Palestina","Docente apoyo",
2016,"Pital","Docente apoyo",
2016,"Pitalito","Docente apoyo",
2016,"Rivera","Docente apoyo",
2016,"Saladoblanco","Docente apoyo",
2016,"San Agustín","Docente apoyo",
2016,"Santa Maria","Docente apoyo",
2016,"Suaza","Docente apoyo",
2016,"Tarqui","Docente apoyo",1
2016,"Tello","Docente apoyo",
2016,"Teruel","Docente apoyo",
2016,"Tesalia","Docente apoyo",1
2016,"Timaná","Docente apoyo",
2016,"Villavieja","Docente apoyo",
2016,"Yaguará","Docente apoyo",
2014,"Acevedo","Rector",9
2014,"Agrado","Rector",3
2014,"Aipe","Rector",3
2014,"Algeciras","Rector",6
2014,"Altamira","Rector",1
2014,"Baraya","Rector",3
2014,"Campoalegre","Rector",5
2014,"Colombia","Rector",5
2014,"Elias","Rector",1
