"Municipio","Ano","Rango","Poblacion"
"Campoalegre",2010,"Población en edad escolar 6 – 10 años",3411
"Colombia",2010,"Población en edad escolar 6 – 10 años",1247
"Elias",2010,"Población en edad escolar 6 – 10 años",429
"Garzón",2010,"Población en edad escolar 6 – 10 años",9102
"Gigante",2010,"Población en edad escolar 6 – 10 años",3308
"Guadalupe",2010,"Población en edad escolar 6 – 10 años",2247
"Hobo",2010,"Población en edad escolar 6 – 10 años",710
"Iquira",2010,"Población en edad escolar 6 – 10 años",1208
"Isnos",2010,"Población en edad escolar 6 – 10 años",2893
"La Argentina",2010,"Población en edad escolar 6 – 10 años",1567
"La Plata",2010,"Población en edad escolar 6 – 10 años",6845
"Nátaga",2010,"Población en edad escolar 6 – 10 años",702
"Neiva",2010,"Población en edad escolar 6 – 10 años",29517
"Oporapa",2010,"Población en edad escolar 6 – 10 años",1729
"Paicol",2010,"Población en edad escolar 6 – 10 años",644
"Palermo",2010,"Población en edad escolar 6 – 10 años",3135
"Palestina",2010,"Población en edad escolar 6 – 10 años",1248
"Pital",2010,"Población en edad escolar 6 – 10 años",1494
"Pitalito",2010,"Población en edad escolar 6 – 10 años",12737
"Rivera",2010,"Población en edad escolar 6 – 10 años",1717
"Saladoblanco",2010,"Población en edad escolar 6 – 10 años",1395
"San Agustín",2010,"Población en edad escolar 6 – 10 años",3255
"Santa Maria",2010,"Población en edad escolar 6 – 10 años",1213
"Suaza",2010,"Población en edad escolar 6 – 10 años",1908
"Tarqui",2010,"Población en edad escolar 6 – 10 años",2080
"Tello",2010,"Población en edad escolar 6 – 10 años",1696
"Teruel",2010,"Población en edad escolar 6 – 10 años",928
"Tesalia",2010,"Población en edad escolar 6 – 10 años",952
"Timaná",2010,"Población en edad escolar 6 – 10 años",2297
"Villavieja",2010,"Población en edad escolar 6 – 10 años",842
"Yaguará",2010,"Población en edad escolar 6 – 10 años",762
"Acevedo",2010,"Población en edad escolar 11- 16 años",2959
"Agrado",2010,"Población en edad escolar 11- 16 años",831
"Aipe",2010,"Población en edad escolar 11- 16 años",2011
"Algeciras",2010,"Población en edad escolar 11- 16 años",1987
"Altamira",2010,"Población en edad escolar 11- 16 años",372
"Baraya",2010,"Población en edad escolar 11- 16 años",843
"Campoalegre",2010,"Población en edad escolar 11- 16 años",2799
"Colombia",2010,"Población en edad escolar 11- 16 años",1058
"Elias",2010,"Población en edad escolar 11- 16 años",339
"Garzón",2010,"Población en edad escolar 11- 16 años",7307
"Gigante",2010,"Población en edad escolar 11- 16 años",2620
"Guadalupe",2010,"Población en edad escolar 11- 16 años",1780
"Hobo",2010,"Población en edad escolar 11- 16 años",558
"Iquira",2010,"Población en edad escolar 11- 16 años",1015
"Isnos",2010,"Población en edad escolar 11- 16 años",2374
"La Argentina",2010,"Población en edad escolar 11- 16 años",1231
"La Plata",2010,"Población en edad escolar 11- 16 años",5427
"Nátaga",2010,"Población en edad escolar 11- 16 años",609
"Neiva",2010,"Población en edad escolar 11- 16 años",25990
