"Municipio","Ano","Rango","Poblacion"
"Gigante",2013,"Población en edad escolar 5 años",722
"Guadalupe",2013,"Población en edad escolar 5 años",478
"Hobo",2013,"Población en edad escolar 5 años",146
"Iquira",2013,"Población en edad escolar 5 años",237
"Isnos",2013,"Población en edad escolar 5 años",541
"La Argentina",2013,"Población en edad escolar 5 años",305
"La Plata",2013,"Población en edad escolar 5 años",1349
"Nátaga",2013,"Población en edad escolar 5 años",132
"Neiva",2013,"Población en edad escolar 5 años",5463
"Oporapa",2013,"Población en edad escolar 5 años",332
"Paicol",2013,"Población en edad escolar 5 años",113
"Palermo",2013,"Población en edad escolar 5 años",631
"Palestina",2013,"Población en edad escolar 5 años",240
"Pital",2013,"Población en edad escolar 5 años",281
"Pitalito",2013,"Población en edad escolar 5 años",2486
