"Ano","Municipio","Tipo Institucion","Area","Tipo Nivel Educativo","Grado","Numero Grado","Numero Matriculas"
2015,"Altamira","No Oficial","Urbana","Prescolar","Preescolar",0,0
2015,"Baraya","No Oficial","Urbana","Prescolar","Preescolar",0,0
2015,"Campoalegre","No Oficial","Urbana","Prescolar","Preescolar",0,115
2015,"Colombia","No Oficial","Urbana","Prescolar","Preescolar",0,0
2015,"Elias","No Oficial","Urbana","Prescolar","Preescolar",0,0
2015,"Garzón","No Oficial","Urbana","Prescolar","Preescolar",0,308
2015,"Gigante","No Oficial","Urbana","Prescolar","Preescolar",0,0
2015,"Guadalupe","No Oficial","Urbana","Prescolar","Preescolar",0,0
2015,"Hobo","No Oficial","Urbana","Prescolar","Preescolar",0,0
2015,"Iquira","No Oficial","Urbana","Prescolar","Preescolar",0,0
2015,"Isnos","No Oficial","Urbana","Prescolar","Preescolar",0,0
2015,"La Argentina","No Oficial","Urbana","Prescolar","Preescolar",0,23
2015,"La Plata","No Oficial","Urbana","Prescolar","Preescolar",0,93
2015,"Nátaga","No Oficial","Urbana","Prescolar","Preescolar",0,0
2015,"Neiva","No Oficial","Urbana","Prescolar","Preescolar",0,4200
2015,"Oporapa","No Oficial","Urbana","Prescolar","Preescolar",0,0
2015,"Paicol","No Oficial","Urbana","Prescolar","Preescolar",0,0
2015,"Palermo","No Oficial","Urbana","Prescolar","Preescolar",0,91
2015,"Palestina","No Oficial","Urbana","Prescolar","Preescolar",0,0
2015,"Pital","No Oficial","Urbana","Prescolar","Preescolar",0,21
2015,"Pitalito","No Oficial","Urbana","Prescolar","Preescolar",0,331
2015,"Rivera","No Oficial","Urbana","Prescolar","Preescolar",0,91
2015,"Saladoblanco","No Oficial","Urbana","Prescolar","Preescolar",0,0
2015,"San Agustín","No Oficial","Urbana","Prescolar","Preescolar",0,11
2015,"Santa Maria","No Oficial","Urbana","Prescolar","Preescolar",0,0
2015,"Suaza","No Oficial","Urbana","Prescolar","Preescolar",0,45
2015,"Tarqui","No Oficial","Urbana","Prescolar","Preescolar",0,26
2015,"Tello","No Oficial","Urbana","Prescolar","Preescolar",0,0
2015,"Teruel","No Oficial","Urbana","Prescolar","Preescolar",0,0
2015,"Tesalia","No Oficial","Urbana","Prescolar","Preescolar",0,30
2015,"Timaná","No Oficial","Urbana","Prescolar","Preescolar",0,13
2015,"Villavieja","No Oficial","Urbana","Prescolar","Preescolar",0,0
2015,"Yaguará","No Oficial","Urbana","Prescolar","Preescolar",0,13
2015,"Acevedo","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Agrado","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Aipe","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Algeciras","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Altamira","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Baraya","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Campoalegre","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Colombia","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Elias","No Oficial","Rural","Prescolar","Preescolar",0,0
2015,"Garzón","No Oficial","Rural","Prescolar","Preescolar",0,0
