"Municipio","2007","2008","2009","2010","2011","2012","2013","2014"
"Acevedo",1,2,1,1,1,1,1,1
"Agrado",1,2,1,1,1,1,1,1
"Aipe",1,2,1,1,1,1,1,1
"Algeciras",1,2,1,1,1,1,1,1
"Altamira",1,2,1,1,1,1,1,1
"Baraya",1,2,1,1,1,1,1,1
"Campoalegre",1,2,1,1,1,1,1,1
"Colombia",1,2,1,1,1,1,1,1
"Elias",1,2,1,1,1,1,1,1
"Garzón",1,2,1,1,1,1,1,1
"Gigante",1,2,1,1,1,1,1,1
"Guadalupe",1,2,1,1,1,1,1,1
"Hobo",1,2,1,1,1,1,1,1
"Iquira",1,2,1,1,1,1,1,1
"Isnos",1,2,1,1,1,1,1,1
"La Argentina",1,2,1,1,1,1,1,1
"La Plata",1,2,1,1,1,1,1,1
"Neiva",1,2,1,1,1,1,1,1
"Nátaga",1,2,1,1,1,1,1,1
"Oporapa",1,2,1,1,1,1,1,1
"Paicol",1,2,1,1,1,1,1,1
"Palermo",1,2,1,1,1,1,1,1
"Palestina",1,2,1,1,1,1,1,1
"Pital",1,2,1,1,1,1,1,1
"Pitalito",1,2,1,1,1,1,1,1
"Rivera",1,2,1,1,1,1,1,1
"Saladoblanco",1,2,1,1,1,1,1,1
"San Agustín",1,2,1,1,1,1,1,1
"Santa Maria",1,2,1,1,1,1,1,1
"Suaza",1,2,1,1,1,1,1,1
"Tarqui",1,2,1,1,1,1,1,1
"Tello",1,2,1,1,1,1,1,1
"Teruel",1,2,1,1,1,1,1,1
"Tesalia",1,2,1,1,1,1,1,1
"Timaná",1,2,1,1,1,1,1,1
"Villavieja",1,2,1,1,1,1,1,1
"Yaguará",1,2,1,1,1,1,1,1
